CustomerID,NameStyle,Title,FirstName,MiddleName,LastName,Suffix,CompanyName,SalesPerson,EmailAddress,Phone,PasswordHash,PasswordSalt,rowguid,ModifiedDate
2,False,Mr.,Keith,,Harris,,Progressive Sports,adventure-works\david8,keith0@adventure-works.com,170-555-0127,YPdtRdvqeAhj6wyxEsFdshBDNXxkCXn+CRgbvJItknw=,fs1ZGhY=,E552F657-A9AF-4A7D-A645-C429D6E02491,2006-08-01 00:00:00.000
5,False,Mr.,Lucy,,Harrington,,Metropolitan Sports Supply,adventure-works\shu0,lucy0@adventure-works.com,828-555-0186,KJqV15wsX3PG8TS5GSddp6LFFVdd3CoRftZM/tP0+R4=,cNFKU4w=,83905BDC-6F5E-4F71-B162-C98DA069F38A,2006-09-01 00:00:00.000
11,False,Ms.,Katherine,,Harding,,Sharp Bikes,adventure-works\josé1,katherine0@adventure-works.com,926-555-0159,uRlorVzDGNJIX9I+ehTlRK+liT4UKRgWhApJgUMC2d4=,jpHKbqE=,750F3495-59C4-48A0-80E1-E37EC60E77D9,2005-08-01 00:00:00.000
21,False,,Jinghao,,Liu,,Chic Department Stores,adventure-works\jillian0,jinghao1@adventure-works.com,928-555-0116,IaD5AeqK9mRiIrJi/etZGVO6EiybLf/oksA2CqrpoJ0=,p6pOqKc=,564E0B42-4609-43DE-9881-914DA433D82D,2006-09-01 00:00:00.000
23,False,Mr.,Kerim,,Hanif,,Bike World,adventure-works\shu0,kerim0@adventure-works.com,216-555-0122,d0WSjosAd7Y3XOWjNAkoTClCb50vwPuAawOSI1iosgs=,33g5co8=,733F8250-3251-4C2A-8C85-C285BB76B7B4,2006-09-01 00:00:00.000
24,False,Mr.,Kevin,,Liu,,Eastside Department Store,adventure-works\linda3,kevin5@adventure-works.com,926-555-0164,ylTpkIOHKLcjihNjS0j/k10eOHOsWQMNhlbuOCp+UTY=,TgZnUOg=,C111E51D-178D-4DBD-A6FF-F1CCBF4B1AAD,2006-09-01 00:00:00.000
29,False,Mr.,Bryan,,Hamilton,,Cross-Country Riding Supplies,adventure-works\josé1,bryan2@adventure-works.com,344-555-0144,ftRWIIT4oF+if+ddn1ROYXHw6PAooKFX3uALZ0uEU98=,IRNPDIw=,ECA7C8FA-490B-4B97-9C32-043C90F789E8,2005-08-01 00:00:00.000
37,False,Mr.,Jim,,Geist,,Two Bike Shops,adventure-works\pamela0,jim1@adventure-works.com,724-555-0161,cvqeC4fJcKwJ9jlluiWvK5/MyuSi8neLnjFDGdvzJy4=,ot8WcXk=,C6EBB29A-CC67-459C-90E3-339E0F912906,2006-09-01 00:00:00.000
40,False,Mr.,Darren,,Gehring,,Journey Sporting Goods,adventure-works\jillian0,darren0@adventure-works.com,417-555-0182,kqptixZ7LqTuOKcc7ylpabWrgWr5BDXa2fpkDxEwaCY=,Xe7grug=,AA5E28F6-16C8-4D80-894E-17531F2CF972,2005-08-01 00:00:00.000
42,False,Mr.,Jeremy,,Los,,Healthy Activity Store,adventure-works\linda3,jeremy0@adventure-works.com,911-555-0165,jLMkpmNutZFzWw7sSWZeqd91vtlRwaWx2Ub21mhsvlU=,JK9/WX8=,64ACD300-337D-4D39-A2C4-FD5972611934,2006-07-01 00:00:00.000
43,False,Ms.,Elsa,,Leavitt,,Frugal Bike Shop,adventure-works\shu0,elsa0@adventure-works.com,482-555-0174,BmJaM+147GrhU00kNTtaTolp0EJcarJK/SCfew4ZiYA=,YADhpPo=,9E449D3E-5D79-4F65-A4F1-10DD3B0E0766,2006-08-01 00:00:00.000
52,False,Ms.,Rebecca,,Laszlo,,Instruments and Parts Company,adventure-works\jae0,rebecca2@adventure-works.com,1 (11) 500 555-0155,ox4SPBzzVPKyCVoIcZvkdVLtnQlKoDXCciBGcqVAfrI=,n7ydrrc=,8FB34B30-B19D-4AEC-B02E-F1BE942800E5,2007-09-01 00:00:00.000
55,False,Mr.,Eric,,Lang,,Kickstands and Accessories Company,adventure-works\pamela0,eric6@adventure-works.com,932-555-0163,katp5sn21ZqJq5Z26YRBk9XXP3iFjpsX7tNPYAAxZlI=,xw9RymE=,F5D3997B-AD06-46A0-94AF-A4460F4BE471,2007-09-01 00:00:00.000
56,False,Mr.,Brian,,Groth,,Latest Accessories Sales,adventure-works\david8,brian5@adventure-works.com,461-555-0118,tbk7TwAC5jsqEhFRRIhnL9kPBoTy3XS+EjlReKVp5mw=,hpOsvJU=,570B1682-9BB1-4359-984D-8F728E3D6973,2006-08-01 00:00:00.000
58,False,Mr.,Peter,,Kurniawan,,Largest Bike Store,adventure-works\jillian0,peter4@adventure-works.com,436-555-0160,el1s9e+hWeb+79bwrhU+hxHEyJN+j6tR8vWyKJDZmTs=,QgzjTPU=,E324FEE8-1EE7-4B96-854E-CFDA7B0CBBC8,2005-11-01 00:00:00.000
59,False,Mr.,Douglas,,Groncki,,Locks Company,adventure-works\shu0,douglas2@adventure-works.com,385-555-0140,J9nhrWh6kpc/dGBkN7HRxrrbquy1Rit9UMPv9rbYjBs=,KiAAI5M=,60708606-604C-44BE-90E1-3A0925B8060E,2007-09-01 00:00:00.000
61,False,Mr.,Jeffrey,,Kurtz,,Many Bikes Store,adventure-works\shu0,jeffrey3@adventure-works.com,452-555-0179,zn3Nk0+i/zyvxFNh3OziN2Pxa3NfiIlVMJ9Ox86ytao=,5MZXwF4=,CCC53B43-66A6-47F6-A38E-5DD7CFAFEAA6,2006-09-01 00:00:00.000
64,False,Mr.,Vamsi,,Kuppa,,Metal Clearing House,adventure-works\josé1,vamsi1@adventure-works.com,290-555-0196,6p4SZnWdWPrBclHkaWFeooblNWE+Y4VJiuTM9hyonDI=,HaDRSbY=,E6B6F92D-4AC6-4BC7-BF6B-2F3C67498DE7,2007-08-01 00:00:00.000
70,False,Mr.,Deepak,,Kumar,,Outdoor Aerobic Systems Company,adventure-works\jae0,deepak0@adventure-works.com,1 (11) 500 555-0122,0d3F0pfNxXFKEufM738j3/fA0at2eUlZA8ibqRnMr7M=,6fOTb8g=,89E10B04-064E-4313-8203-91FA98A01B11,2007-08-01 00:00:00.000
