venta_id,fecha_venta,total,cliente_nombre,vendedor_nombre
1,2024-01-05,875.0,Juan Pérez,Ana Torres
2,2024-01-12,220.0,María Gómez,Luis Mendoza
3,2024-01-20,300.0,Carlos Ruiz,Pedro Sánchez
4,2024-02-02,120.0,Ana Torres,Laura Fernández
5,2024-02-10,150.0,Luis Mendoza,José Martínez
6,2024-02-18,180.0,Sofía López,Daniela Ríos
7,2024-03-01,90.0,Miguel Castillo,Mario López
8,2024-03-07,75.0,Paola Jiménez,Valeria Cruz
9,2024-03-15,850.0,Ricardo Morales,Andrés Pineda
10,2024-03-22,60.0,Elena Vásquez,Natalia Vega
11,2024-02-10,200.5,Luis Mendoza,Pedro Sánchez
12,2024-05-03,145.5,Carlos Ruiz,Mario López
13,2024-06-11,320.75,Ricardo Morales,Luis Mendoza
14,2024-11-19,89.99,Juan Pérez,Natalia Vega
15,2024-09-27,210.3,Sofía López,José Martínez
16,2024-04-02,415.0,Paola Jiménez,Ana Torres
17,2024-04-09,134.4,María Gómez,Daniela Ríos
18,2024-04-16,278.9,Elena Vásquez,Pedro Sánchez
19,2024-04-24,99.5,Luis Mendoza,Andrés Pineda
20,2024-05-01,560.2,Miguel Castillo,Laura Fernández
21,2024-05-08,175.0,Juan Pérez,Valeria Cruz
22,2024-05-15,245.35,Ricardo Morales,Daniela Ríos
23,2024-05-23,110.8,Carlos Ruiz,Luis Mendoza
24,2024-06-04,305.1,Sofía López,Natalia Vega
25,2024-06-10,92.6,María Gómez,José Martínez
26,2024-06-18,430.0,Paola Jiménez,Mario López
27,2024-06-26,150.75,Ana Torres,Ana Torres
28,2024-07-03,620.4,Elena Vásquez,Andrés Pineda
29,2024-07-09,80.25,Luis Mendoza,Luis Mendoza
30,2024-07-17,215.9,Juan Pérez,Daniela Ríos
31,2024-07-25,340.0,Miguel Castillo,Valeria Cruz
32,2024-08-02,125.0,Carlos Ruiz,Ana Torres
33,2024-08-08,512.15,Ricardo Morales,Laura Fernández
34,2024-08-16,199.99,Sofía López,Natalia Vega
35,2024-08-28,275.6,María Gómez,Mario López
36,2024-09-03,410.7,Paola Jiménez,Daniela Ríos
37,2024-09-11,95.3,Ana Torres,Andrés Pineda
38,2024-09-19,230.0,Elena Vásquez,Luis Mendoza
39,2024-09-27,150.45,Juan Pérez,José Martínez
40,2024-10-02,640.0,Miguel Castillo,Pedro Sánchez
41,2024-10-10,118.9,María Gómez,Valeria Cruz
42,2024-10-18,205.75,Ricardo Morales,Ana Torres
43,2024-10-29,360.2,Luis Mendoza,Daniela Ríos
44,2024-11-05,190.0,Sofía López,Laura Fernández
45,2024-11-12,425.8,Elena Vásquez,Mario López
46,2024-11-20,140.6,Carlos Ruiz,Andrés Pineda
47,2024-11-28,299.99,Juan Pérez,Luis Mendoza
48,2024-12-03,510.5,Paola Jiménez,Natalia Vega
49,2024-12-09,87.4,Ana Torres,Daniela Ríos
50,2024-12-17,260.0,María Gómez,Ana Torres
51,2024-12-27,705.25,Ricardo Morales,José Martínez
