CustomerID,FirstName,MiddleName,LastName,EmailAddress
1,Orlando,N.,Gee,orlando0@adventure-works.com
2,Keith,,Harris,keith0@adventure-works.com
3,Donna,F.,Carreras,donna0@adventure-works.com
4,Janet,M.,Gates,janet1@adventure-works.com
5,Lucy,,Harrington,lucy0@adventure-works.com
6,Rosmarie,J.,Carroll,rosmarie0@adventure-works.com
7,Dominic,P.,Gash,dominic0@adventure-works.com
10,Kathleen,M.,Garza,kathleen0@adventure-works.com
11,Katherine,,Harding,katherine0@adventure-works.com
12,Johnny,A.,Caprio,johnny0@adventure-works.com
